date,temp_mean,temp_max,temp_min,pressure_mean,pressure_min,pressure_max,humidity_mean,humidity_min,humidity_max,wind_speed_mean,wind_speed_min,wind_speed_max,wind_deg_mean,wind_deg_min,wind_deg_max,clouds_all_mean,clouds_all_min,clouds_all_max,weather_id_mode,total_solar,Day
2020-02-16,8.466666666666665,14.44,3.89,986.25,982,993,84.41666666666667,70,100,10.233333333333336,6.2,15.9,232.5,190,270,65.41666666666667,0,90,501,1.5,46
2020-02-17,6.626666666666665,11.11,4.0,1001.2083333333334,994,1009,75.08333333333333,66,86,9.53333333333333,6.2,13.4,237.5,220,260,34.833333333333336,0,75,801,9.8,47
2020-02-18,5.595416666666668,10.56,2.78,1010.4583333333334,1007,1013,80.45833333333333,70,93,7.695833333333332,5.7,11.8,239.58333333333334,200,280,50.083333333333336,0,75,803,5.699999999999999,48
2020-02-19,5.432083333333334,9.0,2.0,1011.8333333333334,1006,1016,85.25,75,100,7.008333333333332,5.1,8.7,237.08333333333334,190,280,44.791666666666664,0,90,800,5.300000000000001,49
2020-02-20,7.160416666666664,12.22,3.0,1003.875,997,1013,81.70833333333333,69,93,8.912499999999996,6.2,13.9,238.33333333333334,200,300,48.541666666666664,0,100,803,3.7,50
2020-02-21,7.272083333333334,11.11,3.0,1013.4583333333334,1009,1017,79.25,75,87,9.000000000000002,6.2,12.9,226.66666666666666,210,250,59.083333333333336,0,98,804,2.6,51
2020-02-22,9.347916666666665,12.0,5.0,1009.25,1003,1015,73.125,57,93,10.804166666666667,4.6,14.9,247.5,220,270,68.125,0,100,803,8.3,52
2020-02-23,6.975416666666668,12.22,2.88,1011.0416666666666,1002,1020,79.25,49,100,6.320833333333332,3.1,12.3,257.9166666666667,160,340,67.25,0,100,803,8.3,53
2020-02-24,7.484583333333334,14.0,2.75,1003.25,995,1019,80.625,61,100,7.891666666666667,2.1,14.4,216.25,140,280,57.083333333333336,0,90,803,7.699999999999999,54
2020-02-25,4.641249999999999,9.44,1.0,993.9166666666666,990,998,77.95833333333333,56,100,5.941666666666666,2.1,8.7,260.4166666666667,220,340,39.583333333333336,20,75,801,7.4,55
2020-02-26,3.777916666666666,8.89,0.0,997.9166666666666,991,1003,78.70833333333333,56,93,6.066666666666666,2.6,9.3,272.9166666666667,210,300,44.166666666666664,0,75,803,10.1,56
2020-02-27,3.7874999999999996,8.89,0.56,999.875,994,1010,76.75,49,93,5.291666666666666,2.6,9.8,257.0833333333333,180,320,42.5,0,100,800,10.1,57
2020-02-28,4.8975,11.11,0.56,999.5416666666666,986,1010,89.91666666666667,80,100,6.0375000000000005,2.6,10.8,198.75,160,250,61.875,0,100,800,9.9,58
2020-02-29,7.446249999999999,11.67,3.89,977.9166666666666,975,985,78.45833333333333,52,93,9.945833333333336,5.1,13.9,217.5,190,250,61.625,0,90,500,7.699999999999999,59
2020-03-01,5.57125,10.56,2.0,981.0,977,984,72.33333333333333,56,88,8.42083333333333,3.1,11.8,224.16666666666666,200,240,27.25,0,75,801,14.8,60
2020-03-02,3.440384615384615,10.56,-2.0,986.1923076923077,982,992,81.1923076923077,49,100,3.3915384615384614,0.5,6.7,219.53846153846155,60,280,24.384615384615383,0,94,800,12.7,61
2020-03-03,4.484583333333334,10.0,0.0,996.9166666666666,992,1005,80.29166666666667,70,93,5.3833333333333355,3.6,7.7,247.08333333333334,190,300,29.416666666666668,0,75,800,8.1,62
2020-03-04,4.484166666666666,12.22,-1.0,1004.75,1001,1008,81.45833333333333,61,94,2.358333333333334,0.5,5.1,184.16666666666666,70,270,41.333333333333336,0,100,800,11.399999999999999,63
2020-03-05,3.897916666666667,7.78,-1.67,995.9583333333334,993,1001,84.70833333333333,75,93,4.329166666666667,1.5,7.2,77.5,10,350,61.458333333333336,0,90,803,3.0,64
2020-03-06,3.8679166666666664,10.56,-2.22,1002.875,995,1010,75.375,42,100,3.2125,0.5,4.6,300.4166666666667,190,340,17.291666666666668,0,58,800,10.5,65
2020-03-07,7.595,13.33,1.0,1008.75,1002,1012,81.16666666666667,66,93,5.975000000000001,1.5,11.3,215.41666666666666,190,260,56.208333333333336,0,92,803,8.0,66
2020-03-08,9.430833333333334,13.33,4.0,998.9166666666666,995,1001,72.83333333333333,50,100,8.508333333333331,3.6,11.8,229.16666666666666,190,250,59.375,0,100,803,11.8,67
2020-03-09,7.067083333333332,12.0,3.0,1004.0833333333334,996,1008,80.33333333333333,57,100,7.004166666666667,3.1,10.3,235.41666666666666,190,280,60.0,0,90,803,9.2,68
2020-03-10,11.978333333333333,16.11,7.22,996.875,995,1002,78.66666666666667,62,93,8.445833333333333,2.6,13.4,255.41666666666666,240,280,70.625,0,100,803,9.2,69
2020-03-11,9.340416666666666,14.44,2.22,1001.9166666666666,994,1006,75.33333333333333,58,93,7.925000000000001,1.5,13.4,227.91666666666666,170,250,42.291666666666664,0,75,803,10.3,70
2020-03-12,6.622916666666668,11.0,2.78,1001.0,995,1004,65.41666666666667,46,81,10.175000000000002,6.2,11.8,247.91666666666666,220,270,32.0,0,75,801,16.4,71
2020-03-13,6.717916666666667,12.22,3.89,1012.5,1004,1017,75.20833333333333,53,93,5.295833333333332,1.5,9.8,229.58333333333334,20,350,58.125,0,75,803,12.8,72
2020-03-14,7.941249999999999,12.22,3.89,1009.5416666666666,1004,1014,84.58333333333333,76,93,5.816666666666667,2.6,9.3,174.58333333333334,120,210,77.58333333333333,0,100,803,12.8,73
